ResponseId,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17,Q4_18,Q4_19,Q4_20,Q4_21,Q4_22,Q4_23,Q4_24,Q4_25,Q4_26,Q4_27,Q4_28,Q4_29,Q4_30,Q4_31,Q4_32,Q4_33,Q4_34,Q4_35,Q4_36,Q4_37,Q4_38,Q4_39,Q4_40,Q4_41,Q4_42,Q4_43,Q4_44,Q4_45,Q4_46,Q4_47,Q4_48,Q4_49,Q4_50,Q4_51,Q4_52,Q4_53,Q4_54,Q4_55,Q4_56,Q4_57,Q4_58,Q4_59,Q4_60
R_8ohQQ6l0yZSNf6p,4,5,3,2,2,3,5,4,2,5,2,2,5,5,4,4,2,5,3,5,2,2,5,2,2,2,5,2,4,2,5,5,4,4,5,4,4,4,4,5,3,2,5,3,3,4,2,4,2,2,4,5,3,4,2,4,5,1,4,3
R_23rXvGRBaoNX1Gp,4,4,2,4,3,3,5,3,5,4,2,1,4,4,4,4,2,5,3,5,2,2,4,3,3,3,4,2,4,2,4,4,4,4,3,3,2,4,2,5,3,3,4,4,3,3,2,2,2,4,3,4,5,2,3,3,3,3,3,3
R_2EzQlVooSygxSm5,4,5,1,1,4,1,5,1,2,4,2,1,4,5,4,4,1,5,4,1,3,1,1,3,1,1,5,1,1,4,4,5,5,5,1,2,2,5,5,5,2,3,5,3,3,4,1,1,1,5,4,5,4,5,3,4,4,1,4,1
R_Zs2ARRJwe87pMzv,1,3,4,2,5,2,4,4,2,5,3,3,3,2,3,3,1,4,4,3,2,2,5,3,3,4,4,4,2,3,4,3,2,4,3,3,4,3,3,4,2,2,3,2,4,3,3,4,3,3,5,4,3,3,4,3,4,5,4,3
R_UA7EXz4Norcw7PH,5,4,1,4,1,5,4,1,4,4,1,4,4,3,4,1,1,4,5,5,5,3,4,4,1,1,4,4,4,1,1,5,4,4,5,1,4,4,4,5,4,4,5,4,1,5,1,1,2,2,1,4,4,2,2,5,4,4,5,4
R_1C1IGlxBLS2eJhJ,3,5,1,1,2,3,5,4,3,4,2,3,4,5,3,4,5,4,4,5,2,3,4,3,2,4,4,2,2,2,5,4,5,5,3,4,3,5,4,5,3,4,5,4,1,4,2,1,1,3,4,5,5,4,2,3,5,3,5,4
R_3PZFqlSsvAKoEZD,2,5,1,2,4,1,5,3,2,2,3,4,4,3,3,4,1,5,4,2,2,1,4,2,3,4,4,4,2,4,5,4,4,4,3,5,2,4,4,3,2,4,4,3,4,2,2,1,1,4,5,4,4,4,4,2,2,3,4,2
R_DV4L7jYX3ppumGZ,5,4,1,4,4,4,5,4,4,3,3,4,5,1,5,2,3,4,5,4,4,1,2,4,2,1,4,1,4,4,4,4,3,5,4,2,3,4,3,3,3,1,5,3,1,4,1,1,1,4,2,5,5,1,3,4,3,3,2,4
R_sn8Q36Y9yOpKny9,4,5,4,2,1,2,5,5,4,4,5,4,4,5,3,4,1,4,4,5,2,2,4,2,1,4,5,3,2,2,5,5,2,4,5,4,4,5,4,5,1,4,5,3,4,5,4,4,1,1,3,5,4,5,1,4,4,4,2,3
R_27QDelucvPWDioK,4,5,2,4,1,2,4,2,4,5,1,3,4,2,4,4,2,4,4,5,2,1,3,4,1,2,4,4,4,2,4,4,4,3,5,2,2,2,2,5,4,3,4,4,1,5,2,2,2,3,3,5,3,3,1,4,4,1,3,3
R_xDzuv9UbeecyYj7,1,4,3,3,3,2,5,2,4,5,4,2,5,2,4,5,1,5,4,3,2,1,2,1,2,1,2,3,4,2,5,4,4,5,3,4,1,4,3,3,4,4,4,5,2,2,1,2,1,3,2,5,5,3,2,3,4,2,2,4
R_273ZwrB0bY3DKro,5,4,2,1,2,5,5,2,2,4,1,4,5,4,4,3,2,4,5,4,4,4,2,4,2,2,5,4,2,4,2,4,4,5,5,3,4,5,4,4,4,4,5,2,1,5,3,3,1,4,2,5,5,4,2,4,4,4,4,3
R_1dNfBcxjUOK7f7M,5,5,2,2,2,4,4,1,3,5,2,2,3,3,4,2,1,2,2,5,4,1,5,2,3,3,5,1,3,3,4,5,2,4,5,3,1,5,5,5,4,3,5,1,3,5,1,1,2,1,3,5,5,5,2,5,5,1,3,5
R_3qqk7mlk0D82rv4,3,4,4,5,4,3,3,5,5,4,1,4,3,1,3,2,2,3,3,4,3,4,5,5,3,4,3,4,5,2,3,3,2,4,4,2,3,4,1,4,4,5,3,5,2,5,4,3,2,3,2,4,3,1,2,4,3,3,2,4
R_3EMTUuRlgndEDtz,4,5,4,1,2,2,4,4,2,4,2,4,4,5,3,2,1,3,2,5,1,2,5,2,1,4,5,2,1,2,4,5,2,4,4,5,4,4,4,4,3,2,4,2,2,5,2,4,1,4,4,4,2,5,5,4,5,4,4,3
R_3qsM4SQzxK7Jn9p,4,5,2,1,1,1,5,2,2,5,2,2,4,2,4,4,1,4,1,5,1,1,4,4,2,2,5,2,2,1,4,5,4,4,5,2,1,4,4,4,2,2,4,4,1,2,1,1,1,1,4,5,4,3,2,4,4,1,2,4
R_SGKuNfvyTu7kORj,2,4,3,3,1,2,4,4,2,4,2,2,5,4,4,5,1,2,4,5,1,1,5,1,1,5,2,1,2,1,5,4,4,3,5,4,3,2,4,4,3,4,5,2,1,2,1,1,1,1,4,4,1,4,1,3,1,1,4,4
R_2aFDiQwzzKffLMB,2,5,2,1,4,1,5,4,4,4,1,2,4,4,2,5,2,5,2,3,1,1,1,4,2,4,5,2,2,2,5,4,5,5,4,4,1,4,2,4,4,2,2,2,1,4,1,2,1,4,5,5,4,4,3,4,5,4,5,1
R_1kTQzG8JPkQ7ChJ,4,4,5,2,2,3,4,4,3,4,2,2,2,4,4,4,4,2,4,2,3,2,5,2,4,4,4,2,2,2,4,4,2,4,2,2,3,4,4,4,4,2,5,2,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,2
R_0kzchyzODH54fnz,1,4,5,1,4,1,5,4,2,4,2,4,4,4,4,5,2,2,4,2,2,2,5,1,2,5,4,2,4,2,5,4,4,5,2,4,1,4,3,2,2,4,5,2,4,1,2,2,1,4,2,5,2,4,2,3,2,1,5,4
R_xFrDfziK75EJJLP,5,5,1,2,1,4,5,1,4,4,1,1,5,2,3,1,1,5,4,4,5,1,2,4,4,1,5,1,2,1,2,5,5,5,5,2,1,5,2,4,5,2,5,2,1,5,1,1,2,2,1,5,5,2,2,5,5,2,4,4
R_1GuZTg924LLc56g,2,4,4,1,4,1,4,5,1,2,4,2,2,4,4,4,1,4,5,4,2,2,4,2,1,5,3,4,1,4,4,4,1,5,4,4,4,4,4,4,2,5,4,1,1,2,4,2,1,2,2,4,3,5,2,2,5,4,5,2
R_245EukwjM44uZ2k,4,4,3,4,4,3,5,4,4,4,1,2,4,3,3,3,1,3,3,4,3,2,4,4,1,4,4,2,3,2,4,4,3,4,4,2,3,3,3,4,2,4,4,4,2,4,2,2,2,1,3,5,3,3,2,3,3,2,4,3
R_2dhTdpt5xIGXVrs,5,4,3,4,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4,3,3,3,4,3,2,3,5,3,2,2,3,2,3,4,3,3,2,3,3,4,3,5,3,4,1,3,2,1,2,2,3,4,4,3,2,3,2,3,3,3
R_PSy2kuTI9c1ZPjP,3,4,4,2,3,2,4,4,2,4,2,4,3,5,3,4,2,4,4,5,3,1,4,2,2,2,5,4,2,2,5,4,3,5,5,3,4,4,4,5,3,3,4,2,2,4,2,2,1,2,3,4,4,4,2,3,4,4,4,4
R_pDG2s3SrlNzem7n,5,4,3,4,2,3,4,3,5,4,1,3,4,3,3,2,2,3,2,3,3,3,3,4,2,2,3,2,4,2,2,4,3,2,4,2,2,5,1,3,4,4,4,4,2,4,1,1,4,4,2,4,4,1,2,4,4,4,3,3
R_T5W5ByWnIKCLv9L,3,5,2,2,4,1,5,4,2,4,5,4,4,1,2,4,1,5,4,5,1,1,5,1,2,4,5,1,5,4,4,4,2,5,3,5,3,3,4,5,2,5,5,5,4,4,2,4,2,3,5,5,2,4,3,2,2,1,1,1
R_2v0ovx04BpmH07z,5,5,2,2,2,5,5,4,5,4,1,1,5,4,3,2,1,3,4,5,4,1,5,5,2,2,4,4,5,2,2,5,2,5,5,1,1,5,5,5,4,4,5,5,1,4,1,2,1,4,1,5,4,4,2,4,4,2,2,3
R_1C7qs6Uq9lymDjP,5,5,1,4,4,3,5,2,2,4,2,2,4,4,3,2,1,5,3,4,3,1,2,5,4,3,5,2,2,2,2,5,5,4,4,2,1,5,2,4,5,1,5,4,1,5,1,1,2,3,3,5,5,3,3,5,5,2,4,3
R_31hhWRjhnPc72BQ,5,4,1,2,2,4,5,1,4,4,1,2,4,2,4,2,1,5,2,5,4,1,2,4,2,2,4,2,3,1,2,4,4,3,4,2,2,4,1,4,4,2,5,4,2,4,1,1,2,1,1,5,4,1,2,4,4,1,2,4
R_3IauBHxped0xT5n,1,5,3,2,4,4,5,3,5,4,1,5,5,5,2,4,1,5,5,3,5,1,2,4,3,2,1,3,1,3,4,4,2,5,3,3,4,5,5,5,2,5,5,1,1,4,5,5,1,5,1,4,5,3,5,4,1,2,5,3
R_3MbdcfyqhtwHdH7,5,5,5,2,2,5,4,4,4,5,1,3,2,5,2,1,1,1,2,4,4,1,5,1,1,4,4,4,2,2,5,4,1,4,5,4,3,3,4,4,5,3,2,2,2,5,1,1,1,1,1,5,5,2,1,5,3,3,1,2
R_12bdytADU0XIMci,3,5,2,1,4,2,5,2,4,4,4,4,4,5,4,2,4,5,4,2,3,1,3,2,4,4,4,2,2,4,3,4,4,5,2,4,3,4,5,4,4,5,5,4,4,4,3,2,1,5,2,5,4,5,4,3,5,3,2,4
R_PCKB6LmbBXv5iW5,2,4,3,3,4,3,4,4,3,3,2,3,4,2,3,5,2,3,3,3,2,1,4,3,3,4,3,2,3,3,5,4,3,5,3,2,2,2,3,4,3,4,4,3,2,2,1,2,1,3,4,4,4,2,3,3,2,2,4,3
R_2P6ddPvPH7ffzd8,4,4,2,4,4,2,4,3,2,4,2,2,4,2,4,3,2,4,4,1,1,1,5,4,4,1,5,3,2,4,4,2,4,4,2,2,2,2,4,4,4,5,4,2,2,4,2,3,2,5,5,4,1,3,3,2,4,3,4,3
R_3hun4Dgz7t7LV2m,4,2,3,2,3,3,4,3,2,4,4,4,4,2,4,3,4,3,4,4,4,2,4,4,1,1,4,2,3,3,4,4,4,5,4,2,4,4,4,4,3,4,4,4,4,4,4,2,1,4,3,4,4,4,2,4,3,4,4,3
R_11dLHEUuL9e4nAT,2,5,3,4,4,4,5,5,3,3,1,3,4,4,3,5,2,4,4,3,3,2,4,4,2,1,4,3,3,3,5,5,5,4,4,1,2,3,4,4,4,5,4,5,3,1,2,3,2,5,5,5,4,3,3,3,4,2,4,4
R_Ce860ipVRDP34yZ,1,2,2,1,4,4,3,5,1,3,4,5,3,5,2,4,4,4,5,4,3,4,3,1,2,4,2,4,1,5,4,2,4,5,4,3,4,2,5,2,1,5,1,2,3,4,4,4,1,1,2,2,4,5,2,2,4,1,4,2
R_3D5wS5LCzAoCsh0,4,5,4,3,2,1,5,4,3,5,2,4,3,4,4,5,1,2,5,5,1,4,4,4,1,4,4,2,2,1,5,4,2,5,5,4,2,3,4,5,3,5,3,3,1,2,4,4,2,1,4,5,2,4,1,3,2,4,4,4
R_tFMIPomZRWmllAZ,5,3,2,1,1,5,2,1,2,4,2,5,4,5,1,1,3,4,3,5,5,5,2,4,2,5,1,4,1,1,1,2,5,5,5,2,5,5,4,3,5,5,5,1,5,5,4,1,2,4,1,1,2,5,3,3,2,5,4,1
R_2ClTCPiEqReMrNN,4,5,4,4,2,5,5,4,2,5,4,4,4,5,4,2,4,3,5,4,4,4,5,4,4,3,5,5,2,4,5,4,3,4,5,2,4,4,4,5,4,4,5,3,1,5,4,4,1,2,4,5,4,4,2,3,2,4,4,2
R_3qkxeHsWqxiwtKM,4,4,2,2,2,3,5,4,3,5,2,4,4,4,3,4,4,4,4,4,2,3,4,2,5,2,4,2,2,4,4,4,2,4,3,4,2,3,4,4,4,5,4,2,1,5,2,2,2,5,3,5,4,3,4,3,4,2,4,4
R_3m3MVES8X7Gug1F,1,5,1,1,2,1,5,2,2,4,2,4,5,4,4,5,1,5,4,5,2,2,4,2,1,2,4,1,1,2,5,5,5,5,5,4,1,5,5,5,3,4,5,1,3,2,1,1,5,2,4,5,5,5,1,5,4,2,5,3
R_2zup6TVit70rkKX,5,5,3,1,4,3,5,2,1,4,3,2,4,2,4,4,2,4,4,3,4,2,2,2,1,1,4,4,2,4,3,4,5,5,4,3,2,4,5,4,3,4,4,4,3,4,1,2,1,3,4,5,5,5,2,4,4,1,2,5
R_2QgpC5vgtqQ7zB8,5,5,2,2,5,4,5,2,4,4,2,4,5,4,3,1,5,4,4,5,4,2,5,3,3,4,4,3,4,5,1,4,3,4,2,2,4,5,2,4,2,4,5,4,2,5,2,2,2,2,2,5,4,3,4,4,2,2,2,4
R_2YlDzd1ZGkejcxN,4,4,5,1,5,4,4,5,4,5,2,2,4,5,5,4,2,3,5,1,4,4,4,3,5,4,3,3,2,5,4,4,1,5,1,3,4,4,4,2,5,4,3,2,5,5,4,2,1,5,2,4,2,4,3,5,4,4,4,2
R_1jvbROPvLDRE926,2,5,2,2,2,4,5,4,4,4,1,1,4,2,4,4,1,5,4,4,4,2,4,2,2,2,5,1,2,4,4,4,4,5,4,4,1,4,4,5,2,1,5,1,4,2,1,2,1,2,4,5,4,4,2,4,5,1,4,2
R_21Gjkbnupf200fC,5,4,4,3,2,3,4,4,2,4,2,2,3,4,3,2,1,4,4,4,4,1,5,4,2,4,4,4,2,2,3,4,2,3,4,3,3,2,2,2,4,1,3,3,2,5,2,2,2,1,2,4,2,2,2,4,4,3,4,3
R_3P78d3fWIC73ldS,4,5,4,3,4,2,5,4,5,5,1,3,5,4,3,4,1,5,4,3,2,2,4,4,1,2,4,3,2,3,4,5,4,4,4,3,1,5,3,3,5,4,5,3,2,4,1,1,2,3,4,5,4,1,3,5,2,4,3,3
R_82qyevd3qLfagPD,5,5,4,2,2,3,4,4,3,4,1,4,4,4,4,1,1,2,3,5,3,1,3,2,1,1,4,4,3,1,2,1,2,4,5,2,3,4,4,4,5,3,4,3,2,5,2,2,2,3,3,4,4,4,2,5,5,4,4,4
R_2sbcPyA1IrX3FDL,2,4,4,2,2,4,3,4,5,4,2,2,4,4,4,2,2,5,2,1,4,2,2,3,1,2,2,2,4,4,4,4,2,5,4,2,3,4,1,2,2,4,3,3,2,3,4,1,2,2,2,4,5,4,2,4,4,2,2,4
R_3EiFepSHdHDRsSV,4,3,4,4,4,3,5,3,2,4,2,2,4,3,4,5,5,4,3,2,1,2,5,3,4,4,2,3,5,3,5,3,2,2,2,3,2,5,1,2,4,5,4,4,4,2,1,1,4,5,4,5,2,3,3,3,4,2,2,3
R_1Ii8HGBl0U1j4VM,2,4,5,1,1,2,5,4,1,5,2,4,2,5,4,4,1,2,4,5,3,1,5,2,1,4,3,4,1,2,5,3,1,5,5,2,2,2,4,4,3,2,2,1,1,2,1,4,1,2,2,4,3,3,1,4,4,4,5,4
R_2nV0VIylqxQhs65,4,3,2,1,3,3,5,4,2,3,4,4,3,5,2,2,2,4,4,4,2,2,4,2,2,2,5,4,1,4,5,3,2,5,3,4,2,4,4,3,3,4,4,2,2,5,2,2,1,4,4,5,4,4,2,4,2,4,5,2
R_2AQdtoM108v1ZOq,3,4,4,2,4,2,5,4,3,4,3,1,3,4,4,4,3,3,4,5,2,1,4,4,1,1,4,2,3,3,5,4,2,4,4,4,2,2,2,4,3,4,3,4,1,3,4,2,2,2,4,4,2,4,3,3,3,4,3,4
R_1YXKo5QtnRQFMBP,4,5,4,2,4,4,5,4,2,5,1,4,3,4,3,2,1,3,4,3,5,2,5,4,2,2,4,4,2,4,2,4,2,5,3,2,2,3,3,5,5,4,4,4,2,5,1,3,1,4,1,5,3,2,3,5,5,4,4,4
R_3jeeWmRODVrEZIo,5,5,1,2,2,4,5,1,4,5,1,4,5,4,4,1,2,5,5,5,4,3,1,1,1,2,5,3,2,1,3,5,5,5,5,3,4,5,4,4,4,4,5,2,1,5,4,1,2,1,3,5,5,5,2,4,4,2,4,4
R_2Cy6NoCj0ykikFP,4,5,4,4,2,2,5,3,2,5,4,2,4,4,4,4,5,5,4,5,1,1,4,4,2,2,4,2,2,2,5,4,4,4,5,4,1,3,4,4,2,4,4,4,2,2,2,1,2,1,4,5,2,4,2,2,4,2,4,4
R_2q29hnwF0eMJP5U,3,5,2,1,4,4,5,4,2,4,1,4,4,4,3,2,1,4,5,4,3,1,5,2,2,3,2,2,2,2,4,5,4,5,3,4,2,4,4,3,4,4,5,3,3,5,1,1,1,3,4,5,5,4,3,4,5,3,5,3
R_2uIeOdiAW93jTMe,4,5,2,2,2,4,5,2,4,4,1,2,4,1,4,2,1,4,5,2,4,1,2,2,4,4,5,2,2,1,2,5,4,5,4,2,1,4,4,4,4,1,5,4,1,4,1,2,2,2,4,5,4,2,2,4,5,4,2,4
R_25yLb1j3mBznL4n,4,5,3,4,1,3,5,4,4,4,3,4,5,2,4,4,5,4,4,5,3,4,4,4,2,2,5,4,4,2,4,4,2,4,5,2,4,4,4,5,2,2,5,4,2,2,3,1,4,2,2,5,5,2,1,3,4,4,2,4
R_9taLViT0PsTs0YF,4,4,2,4,5,4,5,4,5,5,2,4,5,2,4,3,2,4,2,5,4,2,5,4,2,2,2,4,4,1,5,2,5,4,5,2,2,4,4,5,4,4,5,5,1,4,4,1,2,1,3,4,2,4,1,3,2,5,1,4
R_1IXVHJStx03Jf1s,4,4,2,5,1,3,5,5,2,5,4,2,2,1,5,5,1,5,3,5,3,1,4,4,1,4,5,4,4,2,4,4,5,2,5,3,1,5,5,5,2,5,2,4,1,4,2,1,2,1,1,5,5,4,1,5,2,4,4,4
R_cOUbubtaqdOg4Nj,4,4,2,2,4,5,5,2,4,5,1,2,2,4,4,4,1,4,4,4,4,1,4,5,1,2,4,2,1,2,4,4,4,5,5,2,1,5,5,3,4,4,4,2,2,5,2,2,1,4,4,5,2,3,2,4,5,4,5,5
R_33rOkryJlAIPcxB,3,3,2,2,3,3,4,3,2,4,2,3,5,2,3,3,2,4,5,5,3,4,5,4,2,2,3,2,4,3,4,3,4,4,4,3,4,4,4,4,2,5,5,5,4,3,4,1,1,3,3,4,5,3,2,1,2,2,1,3
R_2CQkNP7HHrx0wHY,1,4,4,5,2,3,5,4,5,5,2,1,2,4,4,3,1,4,5,5,3,3,5,4,1,5,4,3,3,1,5,4,4,4,5,1,2,4,5,4,2,4,2,3,1,4,4,2,1,1,2,4,1,5,1,2,3,2,2,4
R_11ZJtVdGFaErIqU,2,4,2,4,4,3,4,2,4,4,2,4,4,2,4,4,2,4,2,3,2,2,2,4,3,2,2,4,4,4,4,4,4,4,2,4,2,4,2,2,3,2,4,4,4,2,2,2,2,4,4,4,4,2,3,4,4,1,2,2
R_1MKXvTu6WJER33R,3,4,3,2,4,2,5,3,4,3,4,5,4,3,3,4,3,5,4,4,3,2,4,3,3,4,5,3,5,2,3,4,4,5,3,4,3,4,2,3,3,4,5,5,2,2,3,2,2,3,4,5,3,1,3,3,2,4,1,4
R_1I6ltFUBe57xJlh,3,4,2,3,4,4,5,3,3,4,3,2,4,2,3,5,4,3,3,5,1,1,4,4,2,5,5,3,3,3,5,4,4,5,4,3,3,4,2,4,2,2,4,3,1,3,1,2,2,3,5,5,3,2,2,3,4,3,3,3
R_32M9PQ9q6Aqr0g3,3,5,2,1,4,4,4,4,4,5,1,4,4,1,4,2,2,2,4,1,4,3,3,2,1,2,5,2,4,4,4,5,2,5,4,4,2,3,4,5,2,4,3,5,1,2,3,2,2,4,1,3,5,4,1,2,2,2,3,4
R_1QmcjLcyXxudwHJ,4,4,4,2,2,2,4,2,2,4,4,4,4,2,4,2,2,4,4,4,3,2,2,2,2,2,4,2,2,2,2,2,4,5,4,2,2,2,2,4,4,2,4,2,4,4,2,2,1,2,4,4,4,2,2,4,2,2,4,4
R_9Nc28BrbvxgUMGR,2,4,2,5,5,1,4,2,5,4,4,5,5,2,2,5,1,4,2,2,2,1,2,5,1,3,2,2,5,4,5,4,2,2,2,2,1,4,2,3,2,4,5,4,2,2,1,4,4,4,4,5,4,2,5,3,2,2,2,2
R_shBjLeqY9ZGa8H7,4,4,5,2,5,2,5,5,3,4,2,2,4,4,3,5,1,4,4,1,4,1,4,3,3,1,4,2,2,2,4,4,2,5,2,4,2,2,4,3,2,2,5,2,4,3,2,4,1,5,4,5,5,4,5,2,4,2,4,2
R_OcK2oyMj30IYFnH,2,4,1,2,2,3,5,3,2,4,2,3,4,4,2,3,1,4,4,4,3,1,5,2,1,4,4,1,2,2,4,4,4,5,4,2,1,4,4,5,2,2,4,4,1,4,1,2,1,3,4,5,5,4,2,2,4,1,3,2
R_9z7YWgeU2HxIp1f,3,5,2,2,4,3,5,2,5,4,1,2,4,3,3,4,1,5,2,4,1,2,5,4,2,2,4,2,3,2,5,5,5,4,4,3,2,4,4,4,4,3,4,3,2,2,1,2,1,2,4,5,4,3,3,4,4,3,3,3
R_2cqNgYMkleLgfEO,5,5,2,2,1,4,5,2,4,4,1,2,5,3,3,4,1,4,5,3,2,3,3,4,1,4,5,3,2,2,5,5,2,5,2,4,1,4,4,4,4,5,5,2,1,4,2,1,1,1,2,5,5,4,1,5,5,1,3,4
