"","ResponseId","age","gender","Q4_1","Q4_2","Q4_3","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q4_14","Q4_15","Q4_16","Q4_17","Q4_18","Q4_19","Q4_20","Q4_21","Q4_22","Q4_23","Q4_24","Q4_25","Q4_26","Q4_27","Q4_28","Q4_29","Q4_30","Q4_31","Q4_32","Q4_33","Q4_34","Q4_35","Q4_36","Q4_37","Q4_38","Q4_39","Q4_40","Q4_41","Q4_42","Q4_43","Q4_44","Q4_45","Q4_46","Q4_47","Q4_48","Q4_49","Q4_50","Q4_51","Q4_52","Q4_53","Q4_54","Q4_55","Q4_56","Q4_57","Q4_58","Q4_59","Q4_60"
"16","R_1IR7MikjZLb5yeK",18,"non-binary",2,4,1,2,3,4,5,2,1,5,2,3,5,5,3,2,1,5,2,5,4,4,4,2,2,4,2,2,2,4,4,4,4,5,5,4,4,5,5,2,2,4,4,2,3,4,3,2,1,1,2,4,5,3,2,5,5,2,5,2
"17","R_1gTNoyrI2OQR941",30,"woman",4,5,4,4,1,2,5,2,5,5,1,5,5,4,4,4,1,5,5,5,5,2,4,5,1,1,1,4,4,1,2,4,5,4,5,5,1,5,1,5,5,5,4,4,1,4,5,1,1,1,2,5,5,1,1,5,4,4,2,4
"18","R_21mjtuwbgxkkjbV",18,"man",3,5,4,3,3,2,5,2,2,4,3,2,3,5,2,4,1,4,4,3,4,3,2,3,3,1,5,3,2,2,5,2,3,5,3,4,2,2,2,3,4,5,3,2,5,2,1,3,1,5,5,5,3,3,4,3,2,2,2,3
"19","R_1j8iOjJ3VR1jik3",20,"man",4,5,2,5,2,5,5,3,4,5,1,1,4,4,5,1,5,4,4,5,5,5,1,4,1,1,4,3,2,1,1,5,4,4,5,1,3,5,2,5,5,4,5,1,1,5,4,1,4,2,1,5,5,4,1,5,5,4,5,5
"20","R_3oFQ5JaZEuaOXAu",18,"man",1,4,2,5,4,2,5,4,5,5,5,1,4,2,2,5,4,4,4,4,1,1,3,5,5,5,5,4,5,2,5,3,4,1,5,4,3,4,4,3,3,3,4,5,2,1,4,1,2,5,5,5,3,4,2,2,3,2,1,4
"21","R_8ohQQ6l0yZSNf6p",18,"man",4,5,3,2,2,3,5,4,2,5,2,2,5,5,4,4,2,5,3,5,2,2,5,2,2,2,5,2,4,2,5,5,4,4,5,4,4,4,4,5,3,2,5,3,3,4,2,4,2,2,4,5,3,4,2,4,5,1,4,3
"22","R_23rXvGRBaoNX1Gp",18,"man",4,4,2,4,3,3,5,3,5,4,2,1,4,4,4,4,2,5,3,5,2,2,4,3,3,3,4,2,4,2,4,4,4,4,3,3,2,4,2,5,3,3,4,4,3,3,2,2,2,4,3,4,5,2,3,3,3,3,3,3
"23","R_2EzQlVooSygxSm5",18,"man",4,5,1,1,4,1,5,1,2,4,2,1,4,5,4,4,1,5,4,1,3,1,1,3,1,1,5,1,1,4,4,5,5,5,1,2,2,5,5,5,2,3,5,3,3,4,1,1,1,5,4,5,4,5,3,4,4,1,4,1
"24","R_Zs2ARRJwe87pMzv",18,"non-binary",1,3,4,2,5,2,4,4,2,5,3,3,3,2,3,3,1,4,4,3,2,2,5,3,3,4,4,4,2,3,4,3,2,4,3,3,4,3,3,4,2,2,3,2,4,3,3,4,3,3,5,4,3,3,4,3,4,5,4,3
"25","R_UA7EXz4Norcw7PH",18,"man",5,4,1,4,1,5,4,1,4,4,1,4,4,3,4,1,1,4,5,5,5,3,4,4,1,1,4,4,4,1,1,5,4,4,5,1,4,4,4,5,4,4,5,4,1,5,1,1,2,2,1,4,4,2,2,5,4,4,5,4
"26","R_1C1IGlxBLS2eJhJ",18,"man",3,5,1,1,2,3,5,4,3,4,2,3,4,5,3,4,5,4,4,5,2,3,4,3,2,4,4,2,2,2,5,4,5,5,3,4,3,5,4,5,3,4,5,4,1,4,2,1,1,3,4,5,5,4,2,3,5,3,5,4
"27","R_3PZFqlSsvAKoEZD",18,"man",2,5,1,2,4,1,5,3,2,2,3,4,4,3,3,4,1,5,4,2,2,1,4,2,3,4,4,4,2,4,5,4,4,4,3,5,2,4,4,3,2,4,4,3,4,2,2,1,1,4,5,4,4,4,4,2,2,3,4,2
"28","R_DV4L7jYX3ppumGZ",18,"woman",5,4,1,4,4,4,5,4,4,3,3,4,5,1,5,2,3,4,5,4,4,1,2,4,2,1,4,1,4,4,4,4,3,5,4,2,3,4,3,3,3,1,5,3,1,4,1,1,1,4,2,5,5,1,3,4,3,3,2,4
"29","R_sn8Q36Y9yOpKny9",18,"man",4,5,4,2,1,2,5,5,4,4,5,4,4,5,3,4,1,4,4,5,2,2,4,2,1,4,5,3,2,2,5,5,2,4,5,4,4,5,4,5,1,4,5,3,4,5,4,4,1,1,3,5,4,5,1,4,4,4,2,3
"30","R_27QDelucvPWDioK",20,"man",4,5,2,4,1,2,4,2,4,5,1,3,4,2,4,4,2,4,4,5,2,1,3,4,1,2,4,4,4,2,4,4,4,3,5,2,2,2,2,5,4,3,4,4,1,5,2,2,2,3,3,5,3,3,1,4,4,1,3,3
"31","R_xDzuv9UbeecyYj7",18,"woman",1,4,3,3,3,2,5,2,4,5,4,2,5,2,4,5,1,5,4,3,2,1,2,1,2,1,2,3,4,2,5,4,4,5,3,4,1,4,3,3,4,4,4,5,2,2,1,2,1,3,2,5,5,3,2,3,4,2,2,4
"32","R_273ZwrB0bY3DKro",18,"man",5,4,2,1,2,5,5,2,2,4,1,4,5,4,4,3,2,4,5,4,4,4,2,4,2,2,5,4,2,4,2,4,4,5,5,3,4,5,4,4,4,4,5,2,1,5,3,3,1,4,2,5,5,4,2,4,4,4,4,3
"33","R_1dNfBcxjUOK7f7M",24,"woman",5,5,2,2,2,4,4,1,3,5,2,2,3,3,4,2,1,2,2,5,4,1,5,2,3,3,5,1,3,3,4,5,2,4,5,3,1,5,5,5,4,3,5,1,3,5,1,1,2,1,3,5,5,5,2,5,5,1,3,5
"34","R_3qqk7mlk0D82rv4",24,"woman",3,4,4,5,4,3,3,5,5,4,1,4,3,1,3,2,2,3,3,4,3,4,5,5,3,4,3,4,5,2,3,3,2,4,4,2,3,4,1,4,4,5,3,5,2,5,4,3,2,3,2,4,3,1,2,4,3,3,2,4
"35","R_3EMTUuRlgndEDtz",18,"woman",4,5,4,1,2,2,4,4,2,4,2,4,4,5,3,2,1,3,2,5,1,2,5,2,1,4,5,2,1,2,4,5,2,4,4,5,4,4,4,4,3,2,4,2,2,5,2,4,1,4,4,4,2,5,5,4,5,4,4,3
"36","R_3qsM4SQzxK7Jn9p",17,"man",4,5,2,1,1,1,5,2,2,5,2,2,4,2,4,4,1,4,1,5,1,1,4,4,2,2,5,2,2,1,4,5,4,4,5,2,1,4,4,4,2,2,4,4,1,2,1,1,1,1,4,5,4,3,2,4,4,1,2,4
"37","R_SGKuNfvyTu7kORj",18,"man",2,4,3,3,1,2,4,4,2,4,2,2,5,4,4,5,1,2,4,5,1,1,5,1,1,5,2,1,2,1,5,4,4,3,5,4,3,2,4,4,3,4,5,2,1,2,1,1,1,1,4,4,1,4,1,3,1,1,4,4
"38","R_2aFDiQwzzKffLMB",18,"man",2,5,2,1,4,1,5,4,4,4,1,2,4,4,2,5,2,5,2,3,1,1,1,4,2,4,5,2,2,2,5,4,5,5,4,4,1,4,2,4,4,2,2,2,1,4,1,2,1,4,5,5,4,4,3,4,5,4,5,1
"39","R_1kTQzG8JPkQ7ChJ",18,"man",4,4,5,2,2,3,4,4,3,4,2,2,2,4,4,4,4,2,4,2,3,2,5,2,4,4,4,2,2,2,4,4,2,4,2,2,3,4,4,4,4,2,5,2,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,2
"40","R_0kzchyzODH54fnz",18,"man",1,4,5,1,4,1,5,4,2,4,2,4,4,4,4,5,2,2,4,2,2,2,5,1,2,5,4,2,4,2,5,4,4,5,2,4,1,4,3,2,2,4,5,2,4,1,2,2,1,4,2,5,2,4,2,3,2,1,5,4
"41","R_xFrDfziK75EJJLP",18,"man",5,5,1,2,1,4,5,1,4,4,1,1,5,2,3,1,1,5,4,4,5,1,2,4,4,1,5,1,2,1,2,5,5,5,5,2,1,5,2,4,5,2,5,2,1,5,1,1,2,2,1,5,5,2,2,5,5,2,4,4
"42","R_1GuZTg924LLc56g",19,"man",2,4,4,1,4,1,4,5,1,2,4,2,2,4,4,4,1,4,5,4,2,2,4,2,1,5,3,4,1,4,4,4,1,5,4,4,4,4,4,4,2,5,4,1,1,2,4,2,1,2,2,4,3,5,2,2,5,4,5,2
"43","R_245EukwjM44uZ2k",18,"man",4,4,3,4,4,3,5,4,4,4,1,2,4,3,3,3,1,3,3,4,3,2,4,4,1,4,4,2,3,2,4,4,3,4,4,2,3,3,3,4,2,4,4,4,2,4,2,2,2,1,3,5,3,3,2,3,3,2,4,3
"44","R_2dhTdpt5xIGXVrs",18,"man",5,4,3,4,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4,3,3,3,4,3,2,3,5,3,2,2,3,2,3,4,3,3,2,3,3,4,3,5,3,4,1,3,2,1,2,2,3,4,4,3,2,3,2,3,3,3
"45","R_PSy2kuTI9c1ZPjP",18,"man",3,4,4,2,3,2,4,4,2,4,2,4,3,5,3,4,2,4,4,5,3,1,4,2,2,2,5,4,2,2,5,4,3,5,5,3,4,4,4,5,3,3,4,2,2,4,2,2,1,2,3,4,4,4,2,3,4,4,4,4
"46","R_pDG2s3SrlNzem7n",18,"man",5,4,3,4,2,3,4,3,5,4,1,3,4,3,3,2,2,3,2,3,3,3,3,4,2,2,3,2,4,2,2,4,3,2,4,2,2,5,1,3,4,4,4,4,2,4,1,1,4,4,2,4,4,1,2,4,4,4,3,3
"47","R_T5W5ByWnIKCLv9L",18,"man",3,5,2,2,4,1,5,4,2,4,5,4,4,1,2,4,1,5,4,5,1,1,5,1,2,4,5,1,5,4,4,4,2,5,3,5,3,3,4,5,2,5,5,5,4,4,2,4,2,3,5,5,2,4,3,2,2,1,1,1
"48","R_2v0ovx04BpmH07z",19,"man",5,5,2,2,2,5,5,4,5,4,1,1,5,4,3,2,1,3,4,5,4,1,5,5,2,2,4,4,5,2,2,5,2,5,5,1,1,5,5,5,4,4,5,5,1,4,1,2,1,4,1,5,4,4,2,4,4,2,2,3
"49","R_1C7qs6Uq9lymDjP",18,"man",5,5,1,4,4,3,5,2,2,4,2,2,4,4,3,2,1,5,3,4,3,1,2,5,4,3,5,2,2,2,2,5,5,4,4,2,1,5,2,4,5,1,5,4,1,5,1,1,2,3,3,5,5,3,3,5,5,2,4,3
"50","R_31hhWRjhnPc72BQ",32,"man",5,4,1,2,2,4,5,1,4,4,1,2,4,2,4,2,1,5,2,5,4,1,2,4,2,2,4,2,3,1,2,4,4,3,4,2,2,4,1,4,4,2,5,4,2,4,1,1,2,1,1,5,4,1,2,4,4,1,2,4
"51","R_3IauBHxped0xT5n",18,"man",1,5,3,2,4,4,5,3,5,4,1,5,5,5,2,4,1,5,5,3,5,1,2,4,3,2,1,3,1,3,4,4,2,5,3,3,4,5,5,5,2,5,5,1,1,4,5,5,1,5,1,4,5,3,5,4,1,2,5,3
"52","R_3MbdcfyqhtwHdH7",20,"man",5,5,5,2,2,5,4,4,4,5,1,3,2,5,2,1,1,1,2,4,4,1,5,1,1,4,4,4,2,2,5,4,1,4,5,4,3,3,4,4,5,3,2,2,2,5,1,1,1,1,1,5,5,2,1,5,3,3,1,2
"53","R_12bdytADU0XIMci",18,"man",3,5,2,1,4,2,5,2,4,4,4,4,4,5,4,2,4,5,4,2,3,1,3,2,4,4,4,2,2,4,3,4,4,5,2,4,3,4,5,4,4,5,5,4,4,4,3,2,1,5,2,5,4,5,4,3,5,3,2,4
"54","R_PCKB6LmbBXv5iW5",18,"man",2,4,3,3,4,3,4,4,3,3,2,3,4,2,3,5,2,3,3,3,2,1,4,3,3,4,3,2,3,3,5,4,3,5,3,2,2,2,3,4,3,4,4,3,2,2,1,2,1,3,4,4,4,2,3,3,2,2,4,3
"55","R_2P6ddPvPH7ffzd8",18,"man",4,4,2,4,4,2,4,3,2,4,2,2,4,2,4,3,2,4,4,1,1,1,5,4,4,1,5,3,2,4,4,2,4,4,2,2,2,2,4,4,4,5,4,2,2,4,2,3,2,5,5,4,1,3,3,2,4,3,4,3
"56","R_3hun4Dgz7t7LV2m",18,"woman",4,2,3,2,3,3,4,3,2,4,4,4,4,2,4,3,4,3,4,4,4,2,4,4,1,1,4,2,3,3,4,4,4,5,4,2,4,4,4,4,3,4,4,4,4,4,4,2,1,4,3,4,4,4,2,4,3,4,4,3
"57","R_11dLHEUuL9e4nAT",19,"man",2,5,3,4,4,4,5,5,3,3,1,3,4,4,3,5,2,4,4,3,3,2,4,4,2,1,4,3,3,3,5,5,5,4,4,1,2,3,4,4,4,5,4,5,3,1,2,3,2,5,5,5,4,3,3,3,4,2,4,4
"58","R_Ce860ipVRDP34yZ",18,"man",1,2,2,1,4,4,3,5,1,3,4,5,3,5,2,4,4,4,5,4,3,4,3,1,2,4,2,4,1,5,4,2,4,5,4,3,4,2,5,2,1,5,1,2,3,4,4,4,1,1,2,2,4,5,2,2,4,1,4,2
"59","R_3D5wS5LCzAoCsh0",19,"man",4,5,4,3,2,1,5,4,3,5,2,4,3,4,4,5,1,2,5,5,1,4,4,4,1,4,4,2,2,1,5,4,2,5,5,4,2,3,4,5,3,5,3,3,1,2,4,4,2,1,4,5,2,4,1,3,2,4,4,4
"60","R_tFMIPomZRWmllAZ",18,"man",5,3,2,1,1,5,2,1,2,4,2,5,4,5,1,1,3,4,3,5,5,5,2,4,2,5,1,4,1,1,1,2,5,5,5,2,5,5,4,3,5,5,5,1,5,5,4,1,2,4,1,1,2,5,3,3,2,5,4,1
"61","R_2ClTCPiEqReMrNN",18,"man",4,5,4,4,2,5,5,4,2,5,4,4,4,5,4,2,4,3,5,4,4,4,5,4,4,3,5,5,2,4,5,4,3,4,5,2,4,4,4,5,4,4,5,3,1,5,4,4,1,2,4,5,4,4,2,3,2,4,4,2
"62","R_3qkxeHsWqxiwtKM",18,"man",4,4,2,2,2,3,5,4,3,5,2,4,4,4,3,4,4,4,4,4,2,3,4,2,5,2,4,2,2,4,4,4,2,4,3,4,2,3,4,4,4,5,4,2,1,5,2,2,2,5,3,5,4,3,4,3,4,2,4,4
"63","R_3m3MVES8X7Gug1F",18,"man",1,5,1,1,2,1,5,2,2,4,2,4,5,4,4,5,1,5,4,5,2,2,4,2,1,2,4,1,1,2,5,5,5,5,5,4,1,5,5,5,3,4,5,1,3,2,1,1,5,2,4,5,5,5,1,5,4,2,5,3
"64","R_2zup6TVit70rkKX",18,"man",5,5,3,1,4,3,5,2,1,4,3,2,4,2,4,4,2,4,4,3,4,2,2,2,1,1,4,4,2,4,3,4,5,5,4,3,2,4,5,4,3,4,4,4,3,4,1,2,1,3,4,5,5,5,2,4,4,1,2,5
"65","R_2QgpC5vgtqQ7zB8",18,"man",5,5,2,2,5,4,5,2,4,4,2,4,5,4,3,1,5,4,4,5,4,2,5,3,3,4,4,3,4,5,1,4,3,4,2,2,4,5,2,4,2,4,5,4,2,5,2,2,2,2,2,5,4,3,4,4,2,2,2,4
"66","R_2YlDzd1ZGkejcxN",17,"man",4,4,5,1,5,4,4,5,4,5,2,2,4,5,5,4,2,3,5,1,4,4,4,3,5,4,3,3,2,5,4,4,1,5,1,3,4,4,4,2,5,4,3,2,5,5,4,2,1,5,2,4,2,4,3,5,4,4,4,2
"67","R_1jvbROPvLDRE926",18,"man",2,5,2,2,2,4,5,4,4,4,1,1,4,2,4,4,1,5,4,4,4,2,4,2,2,2,5,1,2,4,4,4,4,5,4,4,1,4,4,5,2,1,5,1,4,2,1,2,1,2,4,5,4,4,2,4,5,1,4,2
"68","R_21Gjkbnupf200fC",18,"man",5,4,4,3,2,3,4,4,2,4,2,2,3,4,3,2,1,4,4,4,4,1,5,4,2,4,4,4,2,2,3,4,2,3,4,3,3,2,2,2,4,1,3,3,2,5,2,2,2,1,2,4,2,2,2,4,4,3,4,3
"69","R_3P78d3fWIC73ldS",18,"man",4,5,4,3,4,2,5,4,5,5,1,3,5,4,3,4,1,5,4,3,2,2,4,4,1,2,4,3,2,3,4,5,4,4,4,3,1,5,3,3,5,4,5,3,2,4,1,1,2,3,4,5,4,1,3,5,2,4,3,3
"70","R_82qyevd3qLfagPD",17,"man",5,5,4,2,2,3,4,4,3,4,1,4,4,4,4,1,1,2,3,5,3,1,3,2,1,1,4,4,3,1,2,1,2,4,5,2,3,4,4,4,5,3,4,3,2,5,2,2,2,3,3,4,4,4,2,5,5,4,4,4
"71","R_2sbcPyA1IrX3FDL",25,"man",2,4,4,2,2,4,3,4,5,4,2,2,4,4,4,2,2,5,2,1,4,2,2,3,1,2,2,2,4,4,4,4,2,5,4,2,3,4,1,2,2,4,3,3,2,3,4,1,2,2,2,4,5,4,2,4,4,2,2,4
"72","R_3EiFepSHdHDRsSV",18,"man",4,3,4,4,4,3,5,3,2,4,2,2,4,3,4,5,5,4,3,2,1,2,5,3,4,4,2,3,5,3,5,3,2,2,2,3,2,5,1,2,4,5,4,4,4,2,1,1,4,5,4,5,2,3,3,3,4,2,2,3
"73","R_1Ii8HGBl0U1j4VM",17,"man",2,4,5,1,1,2,5,4,1,5,2,4,2,5,4,4,1,2,4,5,3,1,5,2,1,4,3,4,1,2,5,3,1,5,5,2,2,2,4,4,3,2,2,1,1,2,1,4,1,2,2,4,3,3,1,4,4,4,5,4
"74","R_2nV0VIylqxQhs65",18,"man",4,3,2,1,3,3,5,4,2,3,4,4,3,5,2,2,2,4,4,4,2,2,4,2,2,2,5,4,1,4,5,3,2,5,3,4,2,4,4,3,3,4,4,2,2,5,2,2,1,4,4,5,4,4,2,4,2,4,5,2
"75","R_2AQdtoM108v1ZOq",26,"woman",3,4,4,2,4,2,5,4,3,4,3,1,3,4,4,4,3,3,4,5,2,1,4,4,1,1,4,2,3,3,5,4,2,4,4,4,2,2,2,4,3,4,3,4,1,3,4,2,2,2,4,4,2,4,3,3,3,4,3,4
"76","R_1YXKo5QtnRQFMBP",18,"man",4,5,4,2,4,4,5,4,2,5,1,4,3,4,3,2,1,3,4,3,5,2,5,4,2,2,4,4,2,4,2,4,2,5,3,2,2,3,3,5,5,4,4,4,2,5,1,3,1,4,1,5,3,2,3,5,5,4,4,4
"77","R_3jeeWmRODVrEZIo",20,"woman",5,5,1,2,2,4,5,1,4,5,1,4,5,4,4,1,2,5,5,5,4,3,1,1,1,2,5,3,2,1,3,5,5,5,5,3,4,5,4,4,4,4,5,2,1,5,4,1,2,1,3,5,5,5,2,4,4,2,4,4
"78","R_2Cy6NoCj0ykikFP",20,"man",4,5,4,4,2,2,5,3,2,5,4,2,4,4,4,4,5,5,4,5,1,1,4,4,2,2,4,2,2,2,5,4,4,4,5,4,1,3,4,4,2,4,4,4,2,2,2,1,2,1,4,5,2,4,2,2,4,2,4,4
"79","R_2q29hnwF0eMJP5U",18,"man",3,5,2,1,4,4,5,4,2,4,1,4,4,4,3,2,1,4,5,4,3,1,5,2,2,3,2,2,2,2,4,5,4,5,3,4,2,4,4,3,4,4,5,3,3,5,1,1,1,3,4,5,5,4,3,4,5,3,5,3
"80","R_2uIeOdiAW93jTMe",18,"man",4,5,2,2,2,4,5,2,4,4,1,2,4,1,4,2,1,4,5,2,4,1,2,2,4,4,5,2,2,1,2,5,4,5,4,2,1,4,4,4,4,1,5,4,1,4,1,2,2,2,4,5,4,2,2,4,5,4,2,4
"81","R_25yLb1j3mBznL4n",19,"woman",4,5,3,4,1,3,5,4,4,4,3,4,5,2,4,4,5,4,4,5,3,4,4,4,2,2,5,4,4,2,4,4,2,4,5,2,4,4,4,5,2,2,5,4,2,2,3,1,4,2,2,5,5,2,1,3,4,4,2,4
"82","R_9taLViT0PsTs0YF",20,"woman",4,4,2,4,5,4,5,4,5,5,2,4,5,2,4,3,2,4,2,5,4,2,5,4,2,2,2,4,4,1,5,2,5,4,5,2,2,4,4,5,4,4,5,5,1,4,4,1,2,1,3,4,2,4,1,3,2,5,1,4
"83","R_1IXVHJStx03Jf1s",18,"woman",4,4,2,5,1,3,5,5,2,5,4,2,2,1,5,5,1,5,3,5,3,1,4,4,1,4,5,4,4,2,4,4,5,2,5,3,1,5,5,5,2,5,2,4,1,4,2,1,2,1,1,5,5,4,1,5,2,4,4,4
"84","R_cOUbubtaqdOg4Nj",18,"man",4,4,2,2,4,5,5,2,4,5,1,2,2,4,4,4,1,4,4,4,4,1,4,5,1,2,4,2,1,2,4,4,4,5,5,2,1,5,5,3,4,4,4,2,2,5,2,2,1,4,4,5,2,3,2,4,5,4,5,5
"85","R_33rOkryJlAIPcxB",19,"man",3,3,2,2,3,3,4,3,2,4,2,3,5,2,3,3,2,4,5,5,3,4,5,4,2,2,3,2,4,3,4,3,4,4,4,3,4,4,4,4,2,5,5,5,4,3,4,1,1,3,3,4,5,3,2,1,2,2,1,3
"86","R_2CQkNP7HHrx0wHY",18,"man",1,4,4,5,2,3,5,4,5,5,2,1,2,4,4,3,1,4,5,5,3,3,5,4,1,5,4,3,3,1,5,4,4,4,5,1,2,4,5,4,2,4,2,3,1,4,4,2,1,1,2,4,1,5,1,2,3,2,2,4
"87","R_11ZJtVdGFaErIqU",18,"man",2,4,2,4,4,3,4,2,4,4,2,4,4,2,4,4,2,4,2,3,2,2,2,4,3,2,2,4,4,4,4,4,4,4,2,4,2,4,2,2,3,2,4,4,4,2,2,2,2,4,4,4,4,2,3,4,4,1,2,2
"88","R_1MKXvTu6WJER33R",18,"man",3,4,3,2,4,2,5,3,4,3,4,5,4,3,3,4,3,5,4,4,3,2,4,3,3,4,5,3,5,2,3,4,4,5,3,4,3,4,2,3,3,4,5,5,2,2,3,2,2,3,4,5,3,1,3,3,2,4,1,4
"89","R_1I6ltFUBe57xJlh",18,"man",3,4,2,3,4,4,5,3,3,4,3,2,4,2,3,5,4,3,3,5,1,1,4,4,2,5,5,3,3,3,5,4,4,5,4,3,3,4,2,4,2,2,4,3,1,3,1,2,2,3,5,5,3,2,2,3,4,3,3,3
"90","R_32M9PQ9q6Aqr0g3",18,"woman",3,5,2,1,4,4,4,4,4,5,1,4,4,1,4,2,2,2,4,1,4,3,3,2,1,2,5,2,4,4,4,5,2,5,4,4,2,3,4,5,2,4,3,5,1,2,3,2,2,4,1,3,5,4,1,2,2,2,3,4
"91","R_1QmcjLcyXxudwHJ",18,"non-binary",4,4,4,2,2,2,4,2,2,4,4,4,4,2,4,2,2,4,4,4,3,2,2,2,2,2,4,2,2,2,2,2,4,5,4,2,2,2,2,4,4,2,4,2,4,4,2,2,1,2,4,4,4,2,2,4,2,2,4,4
